STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COUNTRY,Country,VARIABLE,Variable,MEASURE,Measure,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,IFINP,I.A. Transfers based on input use,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,IFINP_VAR,I.A.1. Transfers based on variable input use,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,IFRPC,I.C. Transfers based on the reduction of productive capacity,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,GSCOM,II.D. Support to fishing communities,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,GSEDU,II.E. Education and training,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,GSMNG_STK,II.G.2. Stock enhancement programs,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,GSMNG_ENF,II.G.3. Enforcement expenditures,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,AUS,Australia,GSMSC,II.H. Miscellaneous support for services to the sector,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,DNK,Denmark,IFINP_FIX_V,I.A.2.1.Support to vessel construction/purchase,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,DNK,Denmark,IFINP_FIX_M,I.A.2.2.Support to modernisation,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,DNK,Denmark,IFRPC,I.C. Transfers based on the reduction of productive capacity,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,DNK,Denmark,IFMSC,I.D. Miscellaneous direct support to individuals and companies,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,DNK,Denmark,GSMNG_STK,II.G.2. Stock enhancement programs,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_FISH_FSE(1.0),Fisheries Support Estimate,I,DNK,Denmark,GSMSC,II.H. Miscellaneous support for services to the sector,USD,US dollar,2020,,0,,A,,USD,US Dollar,0,Units,,
