STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REPORTING_TYPE,Reporting type,SERIES,SDG Series,REF_AREA,Area,SEX,Sex,AGE,Age,COMPOSITE_BREAKDOWN,Composite breakdown,ACTIVITY,Economic activity,PRODUCT,Type of product,BIOCLIMATIC_BELT,Bioclimatic Belt,UNIT_MEASURE,Unit measure,URBANISATION,Degree of urbanisation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,BASE_PER,Base period,NATURE,Nature of data points,TIME_DETAIL,Time period details,COMMENT_OBS,Observation-level footnotes,TIME_COVERAGE,Time period or range (ISO8601),UPPER_BOUND,Upper bound value,LOWER_BOUND,Lower bound value,SOURCE_DETAIL,Source details,CUST_BREAKDOWN_LB,Label for custom breakdown,DATA_LAST_UPDATE,Date of the most recent change of the series.,SERIES_ID,SDG Series,INDICATOR,Indicator,SERIES_DESC,SDG Series,GEO_AREA_NAME,Area,REF_AREA_ISO2,ISO2,REF_AREA_ISO3,ISO3,REF_AREA_TYPE,Reference area type,REF_PERIOD,Reference Period,UNIT_MULT,Unit multiplier
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],368,Iraq,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2011,,0,,A,Official value,,,CA,Country Adjusted,2011,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Iraq,,IQ,,IRQ,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],368,Iraq,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2013,,0.01,,A,Official value,,,CA,Country Adjusted,2013,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Iraq,,IQ,,IRQ,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],368,Iraq,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2015,,0,,A,Official value,,,CA,Country Adjusted,2015,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Iraq,,IQ,,IRQ,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],368,Iraq,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2017,,0.01,,A,Official value,,,CA,Country Adjusted,2017,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Iraq,,IQ,,IRQ,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],368,Iraq,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2018,,,,O,Missing value,,,_X,Not Available,2018,,NaN = A figure was not provided,,,,,,,,NA,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Iraq,,IQ,,IRQ,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],368,Iraq,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2019,,0.02,,A,Official value,,,CA,Country Adjusted,2019,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Iraq,,IQ,,IRQ,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],368,Iraq,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2021,,0.02,,A,Official value,,,CA,Country Adjusted,2021,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Iraq,,IQ,,IRQ,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],887,Yemen,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2011,,1.06,,A,Official value,,,CA,Country Adjusted,2011,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Yemen,,YE,,YEM,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],887,Yemen,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2013,,1,,A,Official value,,,CA,Country Adjusted,2013,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Yemen,,YE,,YEM,,3.0,,,,0,Units
DATAFLOW,FAO:DF_EN_SCP_FSHGDP_1471(1.0),14.7.1 Sustainable fisheries as a proportion of GDP (Primary series),I,A,Annual,G,Global,EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP [14.7.1],887,Yemen,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,No breakdown,_T,All products,_T,Total,PT,Percent,_T,Total,2015,,1.23,,A,Official value,,,CA,Country Adjusted,2015,,,,,,,,,,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.,,Total,,,,3090,,14.7.1,,Sustainable fisheries as a proportion of GDP [14.7.1],,Yemen,,YE,,YEM,,3.0,,,,0,Units
